Index	Chromosome	Position
0	A1	2
1	A1	55
2	A1	51
3	A1	2
4	A1	2
5	A1	65
6	A1	2
7	A1	4
8	A1	55
9	A1	55
10	A1	4
11	A1	53
12	A1	53
13	C1	59
14	A1	55
15	A1	50
16	A1	55
17	A1	49
18	A1	4
19	A1	4
20	A1	41
21	A7	14
22	A7	18
23	A7	14
24	A1	7
25	A1	6
26	A1	56
27	A1	7
28	A1	2
29	A1	55
30	A1	6
31	A1	7
32	A1	57
33	A1	50
34	A1	65
35	A1	5
36	C1	49
37	A1	69
38	C1	52
39	C1	57
40	A1	5
41	A1	50
42	C1	54
43	A1	7
44	C1	48
45	C1	48
46	C1	48
47	A1	42
48	A1	9
49	A1	21
50	A1	8
51	A1	6
52	A1	61
53	A1	6
54	A1	54
55	A1	4
56	A1	54
57	A1	2
58	A1	4
59	A1	57
60	A1	61
61	A5	48
62	A1	2
63	A1	45
64	A1	56
65	A1	52
66	A1	7
67	A1	5
68	A1	58
69	A1	49
70	A1	8
71	A1	55
72	A1	59
73	A1	60
74	A1	65
75	A1	8
76	A1	4
77	A1	5
78	A1	3
79	A1	3
80	A1	6
81	A1	66
82	A1	61
83	A1	51
84	A1	5
85	A1	4
86	A1	5
87	A1	6
88	A1	8
89	A1	6
90	A1	2
91	A1	5
92	A1	2
93	A1	62
94	A1	62
95	A1	55
96	A1	60
97	A1	52
98	C1	52
99	A1	58
100	A1	60
101	A1	60
102	A1	64
103	A1	55
104	A1	7
105	A1	5
106	A1	57
107	A1	60
108	A1	59
109	A1	60
110	A1	8
111	A1	6
112	A1	7
113	A1	57
114	A1	62
115	A1	5
116	A1	60
117	A1	60
118	A1	57
119	A1	62
120	A1	57
121	A1	61
122	A1	60
123	A1	60
124	A1	5
125	A1	60
126	A1	58
127	A1	63
128	A1	65
129	A1	58
130	A1	6
131	A1	61
132	A1	62
133	A1	68
134	A1	66
135	A1	60
136	A1	76
137	A1	70
138	A1	70
139	A1	66
140	A1	70
141	A1	66
142	A1	59
143	A1	76
144	A1	69
145	A1	69
146	A1	69
147	A1	70
148	A1	64
149	A1	70
150	A1	70
151	A1	62
152	A1	60
153	A1	7
154	A1	7
155	C1	5
156	A1	70
157	A1	70
158	A1	67
159	A1	67
160	A1	67
161	A1	63
162	A1	66
163	A1	66
164	A1	67
165	A1	66
166	A1	64
167	A1	1
168	A1	9
169	A1	59
170	A1	63
171	A1	62
172	A1	66
173	A1	63
174	A1	2
175	A1	66
176	A1	68
177	A1	60
178	A1	68
179	A1	67
180	A1	68
181	A1	67
182	A1	65
183	A1	66
184	A1	64
185	A1	67
186	A1	6
187	A1	68
188	A1	72
189	A1	7
190	A1	8
191	A1	7
192	C1	6
193	A1	67
194	A10	31
195	A1	8
196	A10	30
197	A7	32
198	A10	24
199	A10	32
200	A1	7
201	A1	7
202	A10	24
203	A10	23
204	A10	29
205	A10	29
206	A7	28
207	A10	26
208	A10	25
209	A10	22
210	A10	28
211	A10	23
212	A10	25
213	A1	62
214	A1	72
215	A1	69
216	A1	8
217	A1	69
218	A1	62
219	A1	67
220	A1	64
221	A1	62
222	A1	67
223	A1	64
224	A1	64
225	A1	66
226	A1	67
227	A1	65
228	A1	6
229	A1	11
230	A1	70
231	A1	11
232	A1	64
233	A1	54
234	A1	72
235	A1	72
236	A1	64
237	A1	66
238	A1	68
239	A1	72
240	A1	63
241	A1	16
242	A1	62
243	A1	66
244	A1	12
245	A1	69
246	A1	66
247	A1	71
248	A1	11
249	A1	76
250	A1	11
251	A1	12
252	A1	2
253	A1	63
254	A1	73
255	A1	66
256	A1	68
257	A1	68
258	A1	66
259	A1	9
260	A1	12
261	A1	71
262	A1	71
263	A1	67
264	A1	71
265	A1	66
266	A1	70
267	A1	70
268	A1	70
269	A1	66
270	A1	10
271	A1	70
272	A1	67
273	A1	63
274	A1	69
275	A1	72
276	C1	79
277	A1	70
278	A1	12
279	A1	72
280	A1	72
281	A1	70
282	A1	75
283	A1	73
284	A1	68
285	A1	11
286	A1	72
287	A1	72
288	A1	71
289	A1	77
290	A1	76
291	A1	72
292	A1	78
293	A1	12
294	A1	71
295	A1	75
296	A1	75
297	A1	76
298	A1	12
299	A1	73
300	A1	71
301	A1	69
302	A1	68
303	A1	76
304	A1	12
305	A1	12
306	A3	96
307	A1	12
308	A1	13
309	A1	16
310	A1	14
311	A1	13
312	A1	13
313	A1	11
314	A1	76
315	A1	77
316	A1	12
317	A1	80
318	A1	10
319	A1	13
320	A1	72
321	A1	77
322	A1	74
323	A1	77
324	A1	14
325	A1	12
326	A1	80
327	A1	76
328	A1	75
329	A1	11
330	A1	70
331	A1	15
332	A1	74
333	A1	74
334	A1	14
335	A1	14
336	A1	89
337	A1	14
338	A1	16
339	A1	17
340	A1	8
341	A1	76
342	A1	76
343	A1	75
344	A1	85
345	A1	80
346	A1	77
347	A1	77
348	A1	2
349	A1	1
350	A1	75
351	A1	77
352	C1	81
353	A1	74
354	A1	79
355	A1	86
356	A1	77
357	A1	83
358	A1	79
359	A1	70
360	A1	15
361	C1	80
362	A1	15
363	A6	53
364	A1	88
365	A1	77
366	A1	78
367	A1	88
368	A1	77
369	A1	76
370	C1	68
371	A1	82
372	A1	16
373	A1	76
374	A1	14
375	A1	79
376	A1	82
377	A1	82
378	A1	79
379	A1	13
380	A1	76
381	A1	82
382	A1	80
383	A1	79
384	A1	14
385	A4	100
386	A4	100
387	A4	100
388	A4	100
389	A1	99
390	A1	98
391	A1	99
392	A1	17
393	A4	100
394	A4	100
395	A4	100
396	A4	99
397	A4	99
398	A4	99
399	A1	99
400	A1	92
401	A1	10
402	A1	17
403	A1	19
404	A1	30
405	A1	15
406	A1	18
407	A1	10
408	A1	18
409	A1	87
410	A1	87
411	C1	85
412	C1	90
413	A1	86
414	C1	89
415	A1	84
416	A1	87
417	A1	87
418	A9	4
419	A9	4
420	A9	4
421	A9	3
422	A9	8
423	A9	6
424	C9	3
425	A9	7
426	A9	8
427	A9	7
428	A9	5
429	A9	2
430	A9	6
431	A9	2
432	A9	6
433	A1	84
434	C1	88
435	C1	91
436	A1	15
437	A1	16
438	A1	88
439	A1	88
440	A1	89
441	A1	90
442	A1	93
443	A1	93
444	A1	87
445	C1	91
446	A1	90
447	A1	94
448	A1	93
449	C1	82
450	C1	94
451	A1	91
452	A1	93
453	A1	18
454	A1	90
455	A1	91
456	A1	92
457	C1	98
458	A1	16
459	A1	19
460	A1	23
461	A1	18
462	A1	21
463	A1	18
464	A1	17
465	A1	21
466	A1	19
467	A1	18
468	A1	11
469	A1	23
470	A1	21
471	A1	25
472	A1	18
473	A1	18
474	A1	19
475	A1	17
476	C1	21
477	A1	26
478	A1	22
479	A1	21
480	A1	22
481	A1	18
482	A1	21
483	A1	24
484	A1	24
485	A1	22
486	A1	23
487	A1	24
488	A1	18
489	A1	18
490	A1	22
491	A1	20
492	A1	26
493	A1	23
494	A1	22
495	A1	23
496	A1	26
497	A1	18
498	A1	23
499	A1	23
500	A1	36
501	A1	28
502	A1	25
503	A1	27
504	A1	25
505	A1	27
506	A1	27
507	A1	22
508	A1	22
509	A1	28
510	A1	23
511	A1	23
512	A1	25
513	A1	21
514	A1	24
515	A1	26
516	A1	29
517	A1	25
518	A1	29
519	C1	21
520	A1	27
521	A1	25
522	A1	1
523	A1	30
524	A1	24
525	C1	22
526	A1	24
527	A1	34
528	A1	29
529	A1	25
530	A1	29
531	A1	32
532	A1	33
533	A1	26
534	A1	26
535	A1	28
536	A1	29
537	A1	26
538	A1	25
539	A1	26
540	A1	27
541	A1	29
542	A1	30
543	A1	26
544	A1	34
