Index	Chromosome	Position
167	A1	1
349	A1	1
522	A1	1
564	A1	1
639	A1	1
666	A1	1
667	A1	1
0	A1	2
3	A1	2
4	A1	2
6	A1	2
28	A1	2
57	A1	2
62	A1	2
90	A1	2
92	A1	2
174	A1	2
252	A1	2
348	A1	2
549	A1	2
611	A1	2
613	A1	2
632	A1	2
664	A1	2
680	A1	2
686	A1	2
78	A1	3
79	A1	3
604	A1	3
648	A1	3
649	A1	3
671	A1	3
7682	A1	3
7	A1	4
10	A1	4
18	A1	4
19	A1	4
55	A1	4
58	A1	4
76	A1	4
85	A1	4
595	A1	4
599	A1	4
681	A1	4
690	A1	4
35	A1	5
40	A1	5
67	A1	5
77	A1	5
84	A1	5
86	A1	5
91	A1	5
105	A1	5
115	A1	5
124	A1	5
687	A1	5
25	A1	6
30	A1	6
51	A1	6
53	A1	6
80	A1	6
87	A1	6
89	A1	6
111	A1	6
130	A1	6
186	A1	6
228	A1	6
24	A1	7
27	A1	7
31	A1	7
43	A1	7
66	A1	7
104	A1	7
112	A1	7
153	A1	7
154	A1	7
189	A1	7
191	A1	7
200	A1	7
201	A1	7
7647	A1	7
50	A1	8
70	A1	8
75	A1	8
88	A1	8
110	A1	8
190	A1	8
195	A1	8
216	A1	8
340	A1	8
48	A1	9
168	A1	9
259	A1	9
7668	A1	9
270	A1	10
318	A1	10
401	A1	10
407	A1	10
229	A1	11
231	A1	11
248	A1	11
250	A1	11
285	A1	11
313	A1	11
329	A1	11
468	A1	11
244	A1	12
251	A1	12
260	A1	12
278	A1	12
293	A1	12
298	A1	12
304	A1	12
305	A1	12
307	A1	12
316	A1	12
325	A1	12
7677	A1	12
308	A1	13
311	A1	13
312	A1	13
319	A1	13
379	A1	13
7679	A1	13
310	A1	14
324	A1	14
334	A1	14
335	A1	14
337	A1	14
374	A1	14
384	A1	14
331	A1	15
360	A1	15
362	A1	15
405	A1	15
436	A1	15
241	A1	16
309	A1	16
338	A1	16
372	A1	16
437	A1	16
458	A1	16
339	A1	17
392	A1	17
402	A1	17
464	A1	17
475	A1	17
3553	A1	17
406	A1	18
408	A1	18
453	A1	18
461	A1	18
463	A1	18
467	A1	18
472	A1	18
473	A1	18
481	A1	18
488	A1	18
489	A1	18
497	A1	18
7756	A1	18
403	A1	19
459	A1	19
466	A1	19
474	A1	19
491	A1	20
11040	A1	20
13701	A1	20
49	A1	21
462	A1	21
465	A1	21
470	A1	21
479	A1	21
482	A1	21
513	A1	21
579	A1	21
478	A1	22
480	A1	22
485	A1	22
490	A1	22
494	A1	22
507	A1	22
508	A1	22
585	A1	22
592	A1	22
460	A1	23
469	A1	23
486	A1	23
493	A1	23
495	A1	23
498	A1	23
499	A1	23
510	A1	23
511	A1	23
550	A1	23
598	A1	23
483	A1	24
484	A1	24
487	A1	24
514	A1	24
524	A1	24
526	A1	24
471	A1	25
502	A1	25
504	A1	25
512	A1	25
517	A1	25
521	A1	25
529	A1	25
538	A1	25
477	A1	26
492	A1	26
496	A1	26
515	A1	26
533	A1	26
534	A1	26
537	A1	26
539	A1	26
543	A1	26
545	A1	26
606	A1	26
636	A1	26
11882	A1	26
503	A1	27
505	A1	27
506	A1	27
520	A1	27
540	A1	27
546	A1	27
548	A1	27
591	A1	27
8501	A1	27
501	A1	28
509	A1	28
535	A1	28
554	A1	28
560	A1	28
516	A1	29
518	A1	29
528	A1	29
530	A1	29
536	A1	29
541	A1	29
547	A1	29
557	A1	29
559	A1	29
574	A1	29
593	A1	29
605	A1	29
654	A1	29
404	A1	30
523	A1	30
542	A1	30
552	A1	30
553	A1	30
563	A1	30
569	A1	30
572	A1	30
573	A1	30
582	A1	30
607	A1	30
608	A1	30
551	A1	31
555	A1	31
556	A1	31
562	A1	31
567	A1	31
581	A1	31
602	A1	31
615	A1	31
617	A1	31
531	A1	32
565	A1	32
570	A1	32
583	A1	32
587	A1	32
588	A1	32
590	A1	32
532	A1	33
575	A1	33
577	A1	33
578	A1	33
580	A1	33
589	A1	33
594	A1	33
597	A1	33
600	A1	33
610	A1	33
626	A1	33
640	A1	33
665	A1	33
527	A1	34
544	A1	34
558	A1	34
571	A1	34
576	A1	34
584	A1	34
586	A1	34
596	A1	34
603	A1	34
614	A1	34
618	A1	34
619	A1	34
623	A1	34
645	A1	34
653	A1	34
568	A1	35
601	A1	35
609	A1	35
612	A1	35
620	A1	35
500	A1	36
621	A1	36
625	A1	36
633	A1	36
12323	A1	36
566	A1	37
622	A1	37
624	A1	37
627	A1	37
635	A1	37
637	A1	37
643	A1	37
561	A1	38
628	A1	38
629	A1	38
631	A1	38
634	A1	38
644	A1	38
655	A1	38
656	A1	38
630	A1	39
638	A1	39
641	A1	39
657	A1	40
10621	A1	40
20	A1	41
616	A1	41
646	A1	41
647	A1	41
650	A1	41
651	A1	41
652	A1	41
658	A1	41
661	A1	41
12048	A1	41
47	A1	42
660	A1	42
642	A1	44
675	A1	44
11533	A1	44
63	A1	45
659	A1	45
677	A1	46
688	A1	46
676	A1	47
684	A1	47
692	A1	48
17	A1	49
69	A1	49
678	A1	49
689	A1	49
15	A1	50
33	A1	50
41	A1	50
685	A1	50
2	A1	51
83	A1	51
65	A1	52
97	A1	52
662	A1	52
679	A1	52
11	A1	53
12	A1	53
682	A1	53
54	A1	54
56	A1	54
233	A1	54
7370	A1	54
1	A1	55
8	A1	55
9	A1	55
14	A1	55
16	A1	55
29	A1	55
71	A1	55
95	A1	55
103	A1	55
26	A1	56
64	A1	56
691	A1	56
32	A1	57
59	A1	57
106	A1	57
113	A1	57
118	A1	57
120	A1	57
683	A1	57
7372	A1	57
68	A1	58
99	A1	58
126	A1	58
129	A1	58
72	A1	59
108	A1	59
142	A1	59
169	A1	59
73	A1	60
96	A1	60
100	A1	60
101	A1	60
107	A1	60
109	A1	60
116	A1	60
117	A1	60
122	A1	60
123	A1	60
125	A1	60
135	A1	60
152	A1	60
177	A1	60
10028	A1	60
13678	A1	60
52	A1	61
60	A1	61
82	A1	61
121	A1	61
131	A1	61
10029	A1	61
13661	A1	61
13662	A1	61
93	A1	62
94	A1	62
114	A1	62
119	A1	62
132	A1	62
151	A1	62
171	A1	62
213	A1	62
218	A1	62
221	A1	62
242	A1	62
127	A1	63
161	A1	63
170	A1	63
173	A1	63
240	A1	63
253	A1	63
273	A1	63
102	A1	64
148	A1	64
166	A1	64
184	A1	64
220	A1	64
223	A1	64
224	A1	64
232	A1	64
236	A1	64
13615	A1	64
5	A1	65
34	A1	65
74	A1	65
128	A1	65
182	A1	65
227	A1	65
81	A1	66
134	A1	66
139	A1	66
141	A1	66
162	A1	66
163	A1	66
165	A1	66
172	A1	66
175	A1	66
183	A1	66
225	A1	66
237	A1	66
243	A1	66
246	A1	66
255	A1	66
258	A1	66
265	A1	66
269	A1	66
942	A1	66
7378	A1	66
158	A1	67
159	A1	67
160	A1	67
164	A1	67
179	A1	67
181	A1	67
185	A1	67
193	A1	67
219	A1	67
222	A1	67
226	A1	67
263	A1	67
272	A1	67
10037	A1	67
10038	A1	67
133	A1	68
176	A1	68
178	A1	68
180	A1	68
187	A1	68
238	A1	68
256	A1	68
257	A1	68
284	A1	68
302	A1	68
37	A1	69
144	A1	69
145	A1	69
146	A1	69
215	A1	69
217	A1	69
245	A1	69
274	A1	69
301	A1	69
137	A1	70
138	A1	70
140	A1	70
147	A1	70
149	A1	70
150	A1	70
156	A1	70
157	A1	70
230	A1	70
266	A1	70
267	A1	70
268	A1	70
271	A1	70
277	A1	70
281	A1	70
330	A1	70
359	A1	70
247	A1	71
261	A1	71
262	A1	71
264	A1	71
288	A1	71
294	A1	71
300	A1	71
9565	A1	71
10549	A1	71
188	A1	72
214	A1	72
234	A1	72
235	A1	72
239	A1	72
275	A1	72
279	A1	72
280	A1	72
286	A1	72
287	A1	72
291	A1	72
320	A1	72
7490	A1	72
254	A1	73
283	A1	73
299	A1	73
11034	A1	73
13707	A1	73
322	A1	74
332	A1	74
333	A1	74
353	A1	74
282	A1	75
295	A1	75
296	A1	75
328	A1	75
343	A1	75
350	A1	75
136	A1	76
143	A1	76
249	A1	76
290	A1	76
297	A1	76
303	A1	76
